FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2024-01-04,2.0220,2.0220,,,1,-0.79,开放申购,开放赎回,,,,
2024-01-05,1.9810,1.9810,,,1,-2.03,开放申购,开放赎回,,,,
2024-01-08,1.9410,1.9410,,,1,-2.02,开放申购,开放赎回,,,,
2024-01-09,1.9470,1.9470,,,1,0.31,开放申购,开放赎回,,,,
2024-01-10,1.9170,1.9170,,,1,-1.54,开放申购,开放赎回,,,,
2024-01-11,1.9490,1.9490,,,1,1.67,开放申购,开放赎回,,,,
2024-01-12,1.9200,1.9200,,,1,-1.49,开放申购,开放赎回,,,,
2024-01-15,1.9290,1.9290,,,1,0.47,开放申购,开放赎回,,,,
2024-01-16,1.9180,1.9180,,,1,-0.57,开放申购,开放赎回,,,,
2024-01-17,1.8780,1.8780,,,1,-2.09,开放申购,开放赎回,,,,
2024-01-18,1.9130,1.9130,,,1,1.86,开放申购,开放赎回,,,,
2024-01-19,1.9010,1.9010,,,1,-0.63,开放申购,开放赎回,,,,
2024-01-22,1.8470,1.8470,,,1,-2.84,开放申购,开放赎回,,,,
2024-01-23,1.8750,1.8750,,,1,1.52,开放申购,开放赎回,,,,
2024-01-24,1.8740,1.8740,,,1,-0.05,开放申购,开放赎回,,,,
2024-01-25,1.9170,1.9170,,,1,2.29,开放申购,开放赎回,,,,
2024-01-26,1.8720,1.8720,,,1,-2.35,开放申购,开放赎回,,,,
2024-01-29,1.8040,1.8040,,,1,-3.63,开放申购,开放赎回,,,,
2024-01-30,1.7630,1.7630,,,1,-2.27,开放申购,开放赎回,,,,
2024-01-31,1.7360,1.7360,,,1,-1.53,开放申购,开放赎回,,,,
2024-02-01,1.7670,1.7670,,,1,1.79,开放申购,开放赎回,,,,
2024-02-02,1.7470,1.7470,,,1,-1.13,开放申购,开放赎回,,,,
2024-02-05,1.7480,1.7480,,,1,0.06,开放申购,开放赎回,,,,
2024-02-06,1.8480,1.8480,,,1,5.72,开放申购,开放赎回,,,,
2024-02-07,1.8740,1.8740,,,1,1.41,开放申购,开放赎回,,,,
2024-02-08,1.8990,1.8990,,,1,1.33,开放申购,开放赎回,,,,
2024-02-19,2.0050,2.0050,,,1,5.58,开放申购,开放赎回,,,,
2024-02-20,1.9960,1.9960,,,1,-0.45,开放申购,开放赎回,,,,
2024-02-21,1.9560,1.9560,,,1,-2.00,开放申购,开放赎回,,,,
2024-02-22,1.9850,1.9850,,,1,1.48,开放申购,开放赎回,,,,
2024-02-23,1.9880,1.9880,,,1,0.15,开放申购,开放赎回,,,,
2024-02-26,1.9930,1.9930,,,1,0.25,开放申购,开放赎回,,,,
2024-02-27,2.0760,2.0760,,,1,4.16,开放申购,开放赎回,,,,
2024-02-28,1.9830,1.9830,,,1,-4.48,开放申购,开放赎回,,,,
2024-02-29,2.0580,2.0580,,,1,3.78,开放申购,开放赎回,,,,
2024-03-01,2.1130,2.1130,,,1,2.67,开放申购,开放赎回,,,,
2024-03-04,2.1590,2.1590,,,1,2.18,开放申购,开放赎回,,,,
2024-03-05,2.1430,2.1430,,,1,-0.74,开放申购,开放赎回,,,,
2024-03-06,2.1310,2.1310,,,1,-0.56,开放申购,开放赎回,,,,
2024-03-07,2.0930,2.0930,,,1,-1.78,开放申购,开放赎回,,,,
2024-03-08,2.1660,2.1660,,,1,3.49,开放申购,开放赎回,,,,
2024-03-11,2.1690,2.1690,,,1,0.14,开放申购,开放赎回,,,,
2024-03-12,2.1420,2.1420,,,1,-1.24,开放申购,开放赎回,,,,
2024-03-13,2.1470,2.1470,,,1,0.23,开放申购,开放赎回,,,,
2024-03-14,2.1380,2.1380,,,1,-0.42,开放申购,开放赎回,,,,
2024-03-15,2.1790,2.1790,,,1,1.92,开放申购,开放赎回,,,,
2024-03-18,2.2300,2.2300,,,1,2.34,开放申购,开放赎回,,,,
2024-03-19,2.2050,2.2050,,,1,-1.12,开放申购,开放赎回,,,,
2024-03-20,2.2090,2.2090,,,1,0.18,开放申购,开放赎回,,,,
2024-03-21,2.2050,2.2050,,,1,-0.18,开放申购,开放赎回,,,,
2024-03-22,2.2130,2.2130,,,1,0.36,开放申购,开放赎回,,,,
2024-03-25,2.1500,2.1500,,,1,-2.85,开放申购,开放赎回,,,,
2024-03-26,2.1260,2.1260,,,1,-1.12,开放申购,开放赎回,,,,
2024-03-27,2.0750,2.0750,,,1,-2.40,开放申购,开放赎回,,,,
2024-03-28,2.1090,2.1090,,,1,1.64,开放申购,开放赎回,,,,
2024-03-29,2.1140,2.1140,,,1,0.24,开放申购,开放赎回,,,,
2024-04-01,2.1610,2.1610,,,1,2.22,开放申购,开放赎回,,,,
2024-04-02,2.1220,2.1220,,,1,-1.80,开放申购,开放赎回,,,,
2024-04-03,2.0910,2.0910,,,1,-1.46,开放申购,开放赎回,,,,
2024-04-08,2.0850,2.0850,,,1,-0.29,开放申购,开放赎回,,,,
2024-04-09,2.0810,2.0810,,,1,-0.19,开放申购,开放赎回,,,,
2024-04-10,2.0380,2.0380,,,1,-2.07,开放申购,开放赎回,,,,
2024-04-11,2.0400,2.0400,,,1,0.10,开放申购,开放赎回,,,,
2024-04-12,2.0810,2.0810,,,1,2.01,开放申购,开放赎回,,,,
2024-04-15,2.0990,2.0990,,,1,0.86,开放申购,开放赎回,,,,
2024-04-16,2.0440,2.0440,,,1,-2.62,开放申购,开放赎回,,,,
2024-04-17,2.1040,2.1040,,,1,2.94,开放申购,开放赎回,,,,
2024-04-18,2.0980,2.0980,,,1,-0.29,开放申购,开放赎回,,,,
2024-04-19,2.0620,2.0620,,,1,-1.72,开放申购,开放赎回,,,,
2024-04-22,2.0260,2.0260,,,1,-1.75,开放申购,开放赎回,,,,
2024-04-23,2.0340,2.0340,,,1,0.39,开放申购,开放赎回,,,,
2024-04-24,2.1080,2.1080,,,1,3.64,开放申购,开放赎回,,,,
2024-04-25,2.0960,2.0960,,,1,-0.57,开放申购,开放赎回,,,,
2024-04-26,2.1700,2.1700,,,1,3.53,开放申购,开放赎回,,,,
2024-04-29,2.2030,2.2030,,,1,1.52,开放申购,开放赎回,,,,
2024-04-30,2.1910,2.1910,,,1,-0.54,开放申购,开放赎回,,,,
2024-05-06,2.2010,2.2010,,,1,0.46,开放申购,开放赎回,,,,
2024-05-07,2.1820,2.1820,,,1,-0.86,开放申购,开放赎回,,,,
2024-05-08,2.1550,2.1550,,,1,-1.24,开放申购,开放赎回,,,,
2024-05-09,2.1580,2.1580,,,1,0.14,开放申购,开放赎回,,,,
