FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2024-01-04,1.8602,1.8602,,,1,-0.66,开放申购,开放赎回,,,,
2024-01-05,1.8183,1.8183,,,1,-2.25,开放申购,开放赎回,,,,
2024-01-08,1.7708,1.7708,,,1,-2.61,开放申购,开放赎回,,,,
2024-01-09,1.7758,1.7758,,,1,0.28,开放申购,开放赎回,,,,
2024-01-10,1.7547,1.7547,,,1,-1.19,开放申购,开放赎回,,,,
2024-01-11,1.7788,1.7788,,,1,1.37,开放申购,开放赎回,,,,
2024-01-12,1.7693,1.7693,,,1,-0.53,开放申购,开放赎回,,,,
2024-01-15,1.7573,1.7573,,,1,-0.68,开放申购,开放赎回,,,,
2024-01-16,1.7516,1.7516,,,1,-0.32,开放申购,开放赎回,,,,
2024-01-17,1.7009,1.7009,,,1,-2.89,开放申购,开放赎回,,,,
2024-01-18,1.7060,1.7060,,,1,0.30,开放申购,开放赎回,,,,
2024-01-19,1.6870,1.6870,,,1,-1.11,开放申购,开放赎回,,,,
2024-01-22,1.6070,1.6070,,,1,-4.74,开放申购,开放赎回,,,,
2024-01-23,1.6177,1.6177,,,1,0.67,开放申购,开放赎回,,,,
2024-01-24,1.6165,1.6165,,,1,-0.07,开放申购,开放赎回,,,,
2024-01-25,1.6652,1.6652,,,1,3.01,开放申购,开放赎回,,,,
2024-01-26,1.6368,1.6368,,,1,-1.71,开放申购,开放赎回,,,,
2024-01-29,1.6010,1.6010,,,1,-2.19,开放申购,开放赎回,,,,
2024-01-30,1.5583,1.5583,,,1,-2.67,开放申购,开放赎回,,,,
2024-01-31,1.5037,1.5037,,,1,-3.50,开放申购,开放赎回,,,,
2024-02-01,1.4961,1.4961,,,1,-0.51,开放申购,开放赎回,,,,
2024-02-02,1.4453,1.4453,,,1,-3.40,开放申购,开放赎回,,,,
2024-02-05,1.3865,1.3865,,,1,-4.07,开放申购,开放赎回,,,,
2024-02-06,1.4604,1.4604,,,1,5.33,开放申购,开放赎回,,,,
2024-02-07,1.5004,1.5004,,,1,2.74,开放申购,开放赎回,,,,
2024-02-08,1.5596,1.5596,,,1,3.95,开放申购,开放赎回,,,,
2024-02-19,1.5704,1.5704,,,1,0.69,开放申购,开放赎回,,,,
2024-02-20,1.5747,1.5747,,,1,0.27,开放申购,开放赎回,,,,
2024-02-21,1.5821,1.5821,,,1,0.47,开放申购,开放赎回,,,,
2024-02-22,1.6051,1.6051,,,1,1.45,开放申购,开放赎回,,,,
2024-02-23,1.6359,1.6359,,,1,1.92,开放申购,开放赎回,,,,
2024-02-26,1.6519,1.6519,,,1,0.98,开放申购,开放赎回,,,,
2024-02-27,1.6959,1.6959,,,1,2.66,开放申购,开放赎回,,,,
2024-02-28,1.6132,1.6132,,,1,-4.88,开放申购,开放赎回,,,,
2024-02-29,1.6793,1.6793,,,1,4.10,开放申购,开放赎回,,,,
2024-03-01,1.6937,1.6937,,,1,0.86,开放申购,开放赎回,,,,
2024-03-04,1.6940,1.6940,,,1,0.02,开放申购,开放赎回,,,,
2024-03-05,1.6885,1.6885,,,1,-0.32,开放申购,开放赎回,,,,
2024-03-06,1.6976,1.6976,,,1,0.54,开放申购,开放赎回,,,,
2024-03-07,1.6746,1.6746,,,1,-1.35,开放申购,开放赎回,,,,
2024-03-08,1.7063,1.7063,,,1,1.89,开放申购,开放赎回,,,,
2024-03-11,1.7358,1.7358,,,1,1.73,开放申购,开放赎回,,,,
2024-03-12,1.7479,1.7479,,,1,0.70,开放申购,开放赎回,,,,
2024-03-13,1.7660,1.7660,,,1,1.04,开放申购,开放赎回,,,,
2024-03-14,1.7532,1.7532,,,1,-0.72,开放申购,开放赎回,,,,
2024-03-15,1.7779,1.7779,,,1,1.41,开放申购,开放赎回,,,,
2024-03-18,1.8127,1.8127,,,1,1.96,开放申购,开放赎回,,,,
2024-03-19,1.8064,1.8064,,,1,-0.35,开放申购,开放赎回,,,,
2024-03-20,1.8129,1.8129,,,1,0.36,开放申购,开放赎回,,,,
2024-03-21,1.8070,1.8070,,,1,-0.33,开放申购,开放赎回,,,,
