FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2024-01-04,2.6570,2.6570,,,1,-1.48,开放申购,开放赎回,,,,
2024-01-05,2.6210,2.6210,,,1,-1.35,开放申购,开放赎回,,,,
2024-01-08,2.5680,2.5680,,,1,-2.02,开放申购,开放赎回,,,,
2024-01-09,2.6080,2.6080,,,1,1.56,开放申购,开放赎回,,,,
2024-01-10,2.6160,2.6160,,,1,0.31,开放申购,开放赎回,,,,
2024-01-11,2.6350,2.6350,,,1,0.73,开放申购,开放赎回,,,,
2024-01-12,2.6440,2.6440,,,1,0.34,开放申购,开放赎回,,,,
2024-01-15,2.6420,2.6420,,,1,-0.08,开放申购,开放赎回,,,,
2024-01-16,2.6590,2.6590,,,1,0.64,开放申购,开放赎回,,,,
2024-01-17,2.5850,2.5850,,,1,-2.78,开放申购,开放赎回,,,,
2024-01-18,2.6100,2.6100,,,1,0.97,开放申购,开放赎回,,,,
2024-01-19,2.6110,2.6110,,,1,0.04,开放申购,开放赎回,,,,
2024-01-22,2.5010,2.5010,,,1,-4.21,开放申购,开放赎回,,,,
2024-01-23,2.5380,2.5380,,,1,1.48,开放申购,开放赎回,,,,
2024-01-24,2.5660,2.5660,,,1,1.10,开放申购,开放赎回,,,,
2024-01-25,2.5960,2.5960,,,1,1.17,开放申购,开放赎回,,,,
2024-01-26,2.5790,2.5790,,,1,-0.65,开放申购,开放赎回,,,,
2024-01-29,2.5380,2.5380,,,1,-1.59,开放申购,开放赎回,,,,
2024-01-30,2.4730,2.4730,,,1,-2.56,开放申购,开放赎回,,,,
2024-01-31,2.4080,2.4080,,,1,-2.63,开放申购,开放赎回,,,,
2024-02-01,2.4020,2.4020,,,1,-0.25,开放申购,开放赎回,,,,
2024-02-02,2.3710,2.3710,,,1,-1.29,开放申购,开放赎回,,,,
2024-02-05,2.3420,2.3420,,,1,-1.22,开放申购,开放赎回,,,,
2024-02-06,2.4700,2.4700,,,1,5.47,开放申购,开放赎回,,,,
2024-02-07,2.5450,2.5450,,,1,3.04,开放申购,开放赎回,,,,
2024-02-08,2.5740,2.5740,,,1,1.14,开放申购,开放赎回,,,,
2024-02-19,2.5640,2.5640,,,1,-0.39,开放申购,开放赎回,,,,
2024-02-20,2.5600,2.5600,,,1,-0.16,开放申购,开放赎回,,,,
2024-02-21,2.5980,2.5980,,,1,1.48,开放申购,开放赎回,,,,
2024-02-22,2.6110,2.6110,,,1,0.50,开放申购,开放赎回,,,,
2024-02-23,2.6160,2.6160,,,1,0.19,开放申购,开放赎回,,,,
2024-02-26,2.6160,2.6160,,,1,0.00,开放申购,开放赎回,,,,
2024-02-27,2.6630,2.6630,,,1,1.80,开放申购,开放赎回,,,,
2024-02-28,2.5950,2.5950,,,1,-2.55,开放申购,开放赎回,,,,
2024-02-29,2.6400,2.6400,,,1,1.73,开放申购,开放赎回,,,,
2024-03-01,2.6020,2.6020,,,1,-1.44,开放申购,开放赎回,,,,
2024-03-04,2.5830,2.5830,,,1,-0.73,开放申购,开放赎回,,,,
2024-03-05,2.5720,2.5720,,,1,-0.43,开放申购,开放赎回,,,,
2024-03-06,2.5590,2.5590,,,1,-0.51,开放申购,开放赎回,,,,
2024-03-07,2.5400,2.5400,,,1,-0.74,开放申购,开放赎回,,,,
2024-03-08,2.5240,2.5240,,,1,-0.63,开放申购,开放赎回,,,,
2024-03-11,2.5630,2.5630,,,1,1.55,开放申购,开放赎回,,,,
2024-03-12,2.6090,2.6090,,,1,1.79,开放申购,开放赎回,,,,
2024-03-13,2.5940,2.5940,,,1,-0.57,开放申购,开放赎回,,,,
2024-03-14,2.5890,2.5890,,,1,-0.19,开放申购,开放赎回,,,,
2024-03-15,2.6350,2.6350,,,1,1.78,开放申购,开放赎回,,,,
2024-03-18,2.6500,2.6500,,,1,0.57,开放申购,开放赎回,,,,
2024-03-19,2.6250,2.6250,,,1,-0.94,开放申购,开放赎回,,,,
2024-03-20,2.6350,2.6350,,,1,0.38,开放申购,开放赎回,,,,
2024-03-21,2.6160,2.6160,,,1,-0.72,开放申购,开放赎回,,,,
2024-03-22,2.5650,2.5650,,,1,-1.95,开放申购,开放赎回,,,,
2024-03-25,2.5480,2.5480,,,1,-0.66,开放申购,开放赎回,,,,
2024-03-26,2.5690,2.5690,,,1,0.82,开放申购,开放赎回,,,,
2024-03-27,2.5400,2.5400,,,1,-1.13,开放申购,开放赎回,,,,
2024-03-28,2.5620,2.5620,,,1,0.87,开放申购,开放赎回,,,,
2024-03-29,2.5750,2.5750,,,1,0.51,开放申购,开放赎回,,,,
2024-04-01,2.6250,2.6250,,,1,1.94,开放申购,开放赎回,,,,
2024-04-02,2.6350,2.6350,,,1,0.38,开放申购,开放赎回,,,,
2024-04-03,2.6250,2.6250,,,1,-0.38,开放申购,开放赎回,,,,
2024-04-08,2.6160,2.6160,,,1,-0.34,开放申购,开放赎回,,,,
2024-04-09,2.6330,2.6330,,,1,0.65,开放申购,开放赎回,,,,
2024-04-10,2.6440,2.6440,,,1,0.42,开放申购,开放赎回,,,,
2024-04-11,2.6390,2.6390,,,1,-0.19,开放申购,开放赎回,,,,
2024-04-12,2.6140,2.6140,,,1,-0.95,开放申购,开放赎回,,,,
2024-04-15,2.6370,2.6370,,,1,0.88,开放申购,开放赎回,,,,
2024-04-16,2.5740,2.5740,,,1,-2.39,开放申购,开放赎回,,,,
2024-04-17,2.6100,2.6100,,,1,1.40,开放申购,开放赎回,,,,
2024-04-18,2.6130,2.6130,,,1,0.11,开放申购,开放赎回,,,,
2024-04-19,2.5580,2.5580,,,1,-2.10,开放申购,开放赎回,,,,
2024-04-22,2.5900,2.5900,,,1,1.25,开放申购,开放赎回,,,,
2024-04-23,2.5800,2.5800,,,1,-0.39,开放申购,开放赎回,,,,
2024-04-24,2.6320,2.6320,,,1,2.02,开放申购,开放赎回,,,,
2024-04-25,2.6360,2.6360,,,1,0.15,开放申购,开放赎回,,,,
2024-04-26,2.6630,2.6630,,,1,1.02,开放申购,开放赎回,,,,
2024-04-29,2.6380,2.6380,,,1,-0.94,开放申购,开放赎回,,,,
2024-04-30,2.6530,2.6530,,,1,0.57,开放申购,开放赎回,,,,
2024-05-06,2.6720,2.6720,,,1,0.72,开放申购,开放赎回,,,,
2024-05-07,2.6520,2.6520,,,1,-0.75,开放申购,开放赎回,,,,
2024-05-08,2.6180,2.6180,,,1,-1.28,开放申购,开放赎回,,,,
2024-05-09,2.6440,2.6440,,,1,0.99,开放申购,开放赎回,,,,
2024-05-10,2.6470,2.6470,,,1,0.11,开放申购,开放赎回,,,,
2024-05-13,2.6320,2.6320,,,1,-0.57,开放申购,开放赎回,,,,
2024-05-14,2.6300,2.6300,,,1,-0.08,开放申购,开放赎回,,,,
2024-05-15,2.6310,2.6310,,,1,0.04,开放申购,开放赎回,,,,
2024-05-16,2.6400,2.6400,,,1,0.34,开放申购,开放赎回,,,,
2024-05-17,2.7110,2.7110,,,1,2.69,开放申购,开放赎回,,,,
2024-05-20,2.7590,2.7590,,,1,1.77,开放申购,开放赎回,,,,
2024-05-21,2.7370,2.7370,,,1,-0.80,开放申购,开放赎回,,,,
2024-05-22,2.7690,2.7690,,,1,1.17,开放申购,开放赎回,,,,
2024-05-23,2.7160,2.7160,,,1,-1.91,开放申购,开放赎回,,,,
2024-05-24,2.6780,2.6780,,,1,-1.40,开放申购,开放赎回,,,,
2024-05-27,2.7060,2.7060,,,1,1.05,开放申购,开放赎回,,,,
2024-05-28,2.6760,2.6760,,,1,-1.11,开放申购,开放赎回,,,,
2024-05-29,2.6650,2.6650,,,1,-0.41,开放申购,开放赎回,,,,
2024-05-30,2.6500,2.6500,,,1,-0.56,开放申购,开放赎回,,,,
2024-05-31,2.6420,2.6420,,,1,-0.30,开放申购,开放赎回,,,,
2024-06-03,2.6430,2.6430,,,1,0.04,开放申购,开放赎回,,,,
2024-06-04,2.6940,2.6940,,,1,1.93,开放申购,开放赎回,,,,
2024-06-05,2.6800,2.6800,,,1,-0.52,开放申购,开放赎回,,,,
2024-06-06,2.6420,2.6420,,,1,-1.42,开放申购,开放赎回,,,,
2024-06-07,2.6380,2.6380,,,1,-0.15,开放申购,开放赎回,,,,
2024-06-11,2.6390,2.6390,,,1,0.04,开放申购,开放赎回,,,,
2024-06-12,2.6490,2.6490,,,1,0.38,开放申购,开放赎回,,,,
2024-06-13,2.6170,2.6170,,,1,-1.21,开放申购,开放赎回,,,,
2024-06-14,2.6210,2.6210,,,1,0.15,开放申购,开放赎回,,,,
2024-06-17,2.6220,2.6220,,,1,0.04,开放申购,开放赎回,,,,
2024-06-18,2.6300,2.6300,,,1,0.31,开放申购,开放赎回,,,,
2024-06-19,2.5920,2.5920,,,1,-1.44,开放申购,开放赎回,,,,
2024-06-20,2.5600,2.5600,,,1,-1.23,开放申购,开放赎回,,,,
2024-06-21,2.5700,2.5700,,,1,0.39,开放申购,开放赎回,,,,
2024-06-24,2.5450,2.5450,,,1,-0.97,开放申购,开放赎回,,,,
2024-06-25,2.5370,2.5370,,,1,-0.31,开放申购,开放赎回,,,,
2024-06-26,2.5630,2.5630,,,1,1.02,开放申购,开放赎回,,,,
2024-06-27,2.5270,2.5270,,,1,-1.40,开放申购,开放赎回,,,,
