FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2024-01-04,1.0738,1.0738,,,1,0.21,开放申购,开放赎回,,,,
2024-01-05,1.0845,1.0845,,,1,1.00,开放申购,开放赎回,,,,
2024-01-08,1.0773,1.0773,,,1,-0.66,开放申购,开放赎回,,,,
2024-01-09,1.0808,1.0808,,,1,0.32,开放申购,开放赎回,,,,
2024-01-10,1.0761,1.0761,,,1,-0.43,开放申购,开放赎回,,,,
2024-01-11,1.0748,1.0748,,,1,-0.12,开放申购,开放赎回,,,,
2024-01-12,1.0818,1.0818,,,1,0.65,开放申购,开放赎回,,,,
2024-01-15,1.0879,1.0879,,,1,0.56,开放申购,开放赎回,,,,
2024-01-16,1.1005,1.1005,,,1,1.16,开放申购,开放赎回,,,,
2024-01-17,1.0935,1.0935,,,1,-0.64,开放申购,开放赎回,,,,
2024-01-18,1.0957,1.0957,,,1,0.20,开放申购,开放赎回,,,,
2024-01-19,1.0956,1.0956,,,1,-0.01,开放申购,开放赎回,,,,
2024-01-22,1.0934,1.0934,,,1,-0.20,开放申购,开放赎回,,,,
2024-01-23,1.0927,1.0927,,,1,-0.06,开放申购,开放赎回,,,,
2024-01-24,1.1081,1.1081,,,1,1.41,开放申购,开放赎回,,,,
2024-01-25,1.1242,1.1242,,,1,1.45,开放申购,开放赎回,,,,
2024-01-26,1.1404,1.1404,,,1,1.44,开放申购,开放赎回,,,,
2024-01-29,1.1496,1.1496,,,1,0.81,开放申购,开放赎回,,,,
2024-01-30,1.1391,1.1391,,,1,-0.91,开放申购,开放赎回,,,,
2024-01-31,1.1400,1.1400,,,1,0.08,开放申购,开放赎回,,,,
2024-02-01,1.1329,1.1329,,,1,-0.62,开放申购,开放赎回,,,,
2024-02-02,1.1339,1.1339,,,1,0.09,开放申购,开放赎回,,,,
2024-02-05,1.1459,1.1459,,,1,1.06,开放申购,开放赎回,,,,
2024-02-06,1.1592,1.1592,,,1,1.16,开放申购,开放赎回,,,,
2024-02-07,1.1516,1.1516,,,1,-0.66,开放申购,开放赎回,,,,
2024-02-08,1.1461,1.1461,,,1,-0.48,开放申购,开放赎回,,,,
2024-02-19,1.1664,1.1664,,,1,1.77,开放申购,开放赎回,,,,
2024-02-20,1.1747,1.1747,,,1,0.71,开放申购,开放赎回,,,,
2024-02-21,1.2046,1.2046,,,1,2.55,开放申购,开放赎回,,,,
2024-02-22,1.2057,1.2057,,,1,0.09,开放申购,开放赎回,,,,
2024-02-23,1.2120,1.2120,,,1,0.52,开放申购,开放赎回,,,,
2024-02-26,1.1831,1.1831,,,1,-2.38,开放申购,开放赎回,,,,
2024-02-27,1.1840,1.1840,,,1,0.08,开放申购,开放赎回,,,,
2024-02-28,1.1811,1.1811,,,1,-0.24,开放申购,开放赎回,,,,
2024-02-29,1.1862,1.1862,,,1,0.43,开放申购,开放赎回,,,,
2024-03-01,1.1850,1.1850,,,1,-0.10,开放申购,开放赎回,,,,
2024-03-04,1.1752,1.1752,,,1,-0.83,开放申购,开放赎回,,,,
2024-03-05,1.1952,1.1952,,,1,1.70,开放申购,开放赎回,,,,
2024-03-06,1.1859,1.1859,,,1,-0.78,开放申购,开放赎回,,,,
2024-03-07,1.1904,1.1904,,,1,0.38,开放申购,开放赎回,,,,
2024-03-08,1.1887,1.1887,,,1,-0.14,开放申购,开放赎回,,,,
2024-03-11,1.1859,1.1859,,,1,-0.24,开放申购,开放赎回,,,,
2024-03-12,1.1763,1.1763,,,1,-0.81,开放申购,开放赎回,,,,
2024-03-13,1.1673,1.1673,,,1,-0.77,开放申购,开放赎回,,,,
2024-03-14,1.1657,1.1657,,,1,-0.14,开放申购,开放赎回,,,,
2024-03-15,1.1731,1.1731,,,1,0.63,开放申购,开放赎回,,,,
2024-03-18,1.1706,1.1706,,,1,-0.21,开放申购,开放赎回,,,,
2024-03-19,1.1610,1.1610,,,1,-0.82,开放申购,开放赎回,,,,
2024-03-20,1.1693,1.1693,,,1,0.71,开放申购,开放赎回,,,,
2024-03-21,1.1773,1.1773,,,1,0.68,开放申购,开放赎回,,,,
2024-03-22,1.1732,1.1732,,,1,-0.35,开放申购,开放赎回,,,,
2024-03-25,1.1779,1.1779,,,1,0.40,开放申购,开放赎回,,,,
2024-03-26,1.1939,1.1939,,,1,1.36,开放申购,开放赎回,,,,
2024-03-27,1.1985,1.1985,,,1,0.39,开放申购,开放赎回,,,,
2024-03-28,1.1833,1.1833,,,1,-1.27,开放申购,开放赎回,,,,
2024-03-29,1.1843,1.1843,,,1,0.08,开放申购,开放赎回,,,,
2024-04-01,1.1949,1.1949,,,1,0.90,开放申购,开放赎回,,,,
2024-04-02,1.1967,1.1967,,,1,0.15,开放申购,开放赎回,,,,
2024-04-03,1.1903,1.1903,,,1,-0.53,开放申购,开放赎回,,,,
2024-04-08,1.1965,1.1965,,,1,0.52,开放申购,开放赎回,,,,
2024-04-09,1.1912,1.1912,,,1,-0.44,开放申购,开放赎回,,,,
2024-04-10,1.1924,1.1924,,,1,0.10,开放申购,开放赎回,,,,
2024-04-11,1.1902,1.1902,,,1,-0.18,开放申购,开放赎回,,,,
2024-04-12,1.1840,1.1840,,,1,-0.52,开放申购,开放赎回,,,,
2024-04-15,1.2046,1.2046,,,1,1.74,开放申购,开放赎回,,,,
2024-04-16,1.2048,1.2048,,,1,0.02,开放申购,开放赎回,,,,
2024-04-17,1.2240,1.2240,,,1,1.59,开放申购,开放赎回,,,,
2024-04-18,1.2363,1.2363,,,1,1.00,开放申购,开放赎回,,,,
2024-04-19,1.2333,1.2333,,,1,-0.24,开放申购,开放赎回,,,,
2024-04-22,1.2244,1.2244,,,1,-0.72,开放申购,开放赎回,,,,
