FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2024-01-04,1.8670,1.8670,,,1,-0.27,开放申购,开放赎回,,,,
2024-01-05,1.8370,1.8370,,,1,-1.61,开放申购,开放赎回,,,,
2024-01-08,1.8110,1.8110,,,1,-1.42,开放申购,开放赎回,,,,
2024-01-09,1.8210,1.8210,,,1,0.55,开放申购,开放赎回,,,,
2024-01-10,1.8040,1.8040,,,1,-0.93,开放申购,开放赎回,,,,
2024-01-11,1.8270,1.8270,,,1,1.27,开放申购,开放赎回,,,,
2024-01-12,1.8050,1.8050,,,1,-1.20,开放申购,开放赎回,,,,
2024-01-15,1.8030,1.8030,,,1,-0.11,开放申购,开放赎回,,,,
2024-01-16,1.8010,1.8010,,,1,-0.11,开放申购,开放赎回,,,,
2024-01-17,1.7730,1.7730,,,1,-1.55,开放申购,开放赎回,,,,
2024-01-18,1.8030,1.8030,,,1,1.69,开放申购,开放赎回,,,,
2024-01-19,1.7970,1.7970,,,1,-0.33,开放申购,开放赎回,,,,
2024-01-22,1.7540,1.7540,,,1,-2.39,开放申购,开放赎回,,,,
2024-01-23,1.7890,1.7890,,,1,2.00,开放申购,开放赎回,,,,
2024-01-24,1.7910,1.7910,,,1,0.11,开放申购,开放赎回,,,,
2024-01-25,1.8170,1.8170,,,1,1.45,开放申购,开放赎回,,,,
2024-01-26,1.7880,1.7880,,,1,-1.60,开放申购,开放赎回,,,,
2024-01-29,1.7380,1.7380,,,1,-2.80,开放申购,开放赎回,,,,
2024-01-30,1.7070,1.7070,,,1,-1.78,开放申购,开放赎回,,,,
2024-01-31,1.6720,1.6720,,,1,-2.05,开放申购,开放赎回,,,,
2024-02-01,1.6960,1.6960,,,1,1.44,开放申购,开放赎回,,,,
2024-02-02,1.6680,1.6680,,,1,-1.65,开放申购,开放赎回,,,,
2024-02-05,1.6220,1.6220,,,1,-2.76,开放申购,开放赎回,,,,
2024-02-06,1.7040,1.7040,,,1,5.06,开放申购,开放赎回,,,,
2024-02-07,1.7210,1.7210,,,1,1.00,开放申购,开放赎回,,,,
2024-02-08,1.7670,1.7670,,,1,2.67,开放申购,开放赎回,,,,
2024-02-19,1.8470,1.8470,,,1,4.53,开放申购,开放赎回,,,,
2024-02-20,1.8490,1.8490,,,1,0.11,开放申购,开放赎回,,,,
2024-02-21,1.8380,1.8380,,,1,-0.59,开放申购,开放赎回,,,,
2024-02-22,1.8640,1.8640,,,1,1.41,开放申购,开放赎回,,,,
2024-02-23,1.8940,1.8940,,,1,1.61,开放申购,开放赎回,,,,
2024-02-26,1.9130,1.9130,,,1,1.00,开放申购,开放赎回,,,,
2024-02-27,1.9790,1.9790,,,1,3.45,开放申购,开放赎回,,,,
2024-02-28,1.8950,1.8950,,,1,-4.24,开放申购,开放赎回,,,,
2024-02-29,1.9580,1.9580,,,1,3.32,开放申购,开放赎回,,,,
2024-03-01,1.9970,1.9970,,,1,1.99,开放申购,开放赎回,,,,
2024-03-04,2.0290,2.0290,,,1,1.60,开放申购,开放赎回,,,,
2024-03-05,2.0020,2.0020,,,1,-1.33,开放申购,开放赎回,,,,
2024-03-06,2.0140,2.0140,,,1,0.60,开放申购,开放赎回,,,,
2024-03-07,1.9650,1.9650,,,1,-2.43,开放申购,开放赎回,,,,
2024-03-08,2.0170,2.0170,,,1,2.65,开放申购,开放赎回,,,,
2024-03-11,2.0470,2.0470,,,1,1.49,开放申购,开放赎回,,,,
2024-03-12,2.0380,2.0380,,,1,-0.44,开放申购,开放赎回,,,,
2024-03-13,2.0460,2.0460,,,1,0.39,开放申购,开放赎回,,,,
2024-03-14,2.0430,2.0430,,,1,-0.15,开放申购,开放赎回,,,,
2024-03-15,2.0890,2.0890,,,1,2.25,开放申购,开放赎回,,,,
2024-03-18,2.1290,2.1290,,,1,1.91,开放申购,开放赎回,,,,
2024-03-19,2.1130,2.1130,,,1,-0.75,开放申购,开放赎回,,,,
2024-03-20,2.1080,2.1080,,,1,-0.24,开放申购,开放赎回,,,,
2024-03-21,2.1000,2.1000,,,1,-0.38,开放申购,开放赎回,,,,
2024-03-22,2.0920,2.0920,,,1,-0.38,开放申购,开放赎回,,,,
2024-03-25,2.0250,2.0250,,,1,-3.20,开放申购,开放赎回,,,,
2024-03-26,1.9820,1.9820,,,1,-2.12,开放申购,开放赎回,,,,
2024-03-27,1.9110,1.9110,,,1,-3.58,开放申购,开放赎回,,,,
2024-03-28,1.9670,1.9670,,,1,2.93,开放申购,开放赎回,,,,
2024-03-29,1.9700,1.9700,,,1,0.15,开放申购,开放赎回,,,,
2024-04-01,2.0180,2.0180,,,1,2.44,开放申购,开放赎回,,,,
2024-04-02,1.9870,1.9870,,,1,-1.54,开放申购,开放赎回,,,,
2024-04-03,1.9440,1.9440,,,1,-2.16,开放申购,开放赎回,,,,
2024-04-08,1.9260,1.9260,,,1,-0.93,开放申购,开放赎回,,,,
2024-04-09,1.9300,1.9300,,,1,0.21,开放申购,开放赎回,,,,
2024-04-10,1.8820,1.8820,,,1,-2.49,开放申购,开放赎回,,,,
2024-04-11,1.8880,1.8880,,,1,0.32,开放申购,开放赎回,,,,
2024-04-12,1.9050,1.9050,,,1,0.90,开放申购,开放赎回,,,,
2024-04-15,1.8920,1.8920,,,1,-0.68,开放申购,开放赎回,,,,
2024-04-16,1.8290,1.8290,,,1,-3.33,开放申购,开放赎回,,,,
2024-04-17,1.9110,1.9110,,,1,4.48,开放申购,开放赎回,,,,
2024-04-18,1.9140,1.9140,,,1,0.16,开放申购,开放赎回,,,,
2024-04-19,1.8760,1.8760,,,1,-1.99,开放申购,开放赎回,,,,
2024-04-22,1.8520,1.8520,,,1,-1.28,开放申购,开放赎回,,,,
2024-04-23,1.8700,1.8700,,,1,0.97,开放申购,开放赎回,,,,
2024-04-24,1.9320,1.9320,,,1,3.32,开放申购,开放赎回,,,,
2024-04-25,1.9180,1.9180,,,1,-0.72,开放申购,开放赎回,,,,
2024-04-26,1.9850,1.9850,,,1,3.49,开放申购,开放赎回,,,,
2024-04-29,2.0290,2.0290,,,1,2.22,开放申购,开放赎回,,,,
2024-04-30,2.0130,2.0130,,,1,-0.79,开放申购,开放赎回,,,,
2024-05-06,2.0180,2.0180,,,1,0.25,开放申购,开放赎回,,,,
2024-05-07,2.0050,2.0050,,,1,-0.64,开放申购,开放赎回,,,,
2024-05-08,1.9690,1.9690,,,1,-1.80,开放申购,开放赎回,,,,
2024-05-09,1.9960,1.9960,,,1,1.37,开放申购,开放赎回,,,,
