FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2024-01-04,2.2531,2.2531,,,1,-0.71,开放申购,开放赎回,,,,
2024-01-05,2.2254,2.2254,,,1,-1.23,开放申购,开放赎回,,,,
2024-01-08,2.1926,2.1926,,,1,-1.47,开放申购,开放赎回,,,,
2024-01-09,2.2093,2.2093,,,1,0.76,开放申购,开放赎回,,,,
2024-01-10,2.2088,2.2088,,,1,-0.02,开放申购,开放赎回,,,,
2024-01-11,2.2422,2.2422,,,1,1.51,开放申购,开放赎回,,,,
2024-01-12,2.2374,2.2374,,,1,-0.21,开放申购,开放赎回,,,,
2024-01-15,2.2296,2.2296,,,1,-0.35,开放申购,开放赎回,,,,
2024-01-16,2.2334,2.2334,,,1,0.17,开放申购,开放赎回,,,,
2024-01-17,2.1919,2.1919,,,1,-1.86,开放申购,开放赎回,,,,
2024-01-18,2.1972,2.1972,,,1,0.24,开放申购,开放赎回,,,,
2024-01-19,2.1840,2.1840,,,1,-0.60,开放申购,开放赎回,,,,
2024-01-22,2.1096,2.1096,,,1,-3.41,开放申购,开放赎回,,,,
2024-01-23,2.1164,2.1164,,,1,0.32,开放申购,开放赎回,,,,
2024-01-24,2.1278,2.1278,,,1,0.54,开放申购,开放赎回,,,,
2024-01-25,2.1644,2.1644,,,1,1.72,开放申购,开放赎回,,,,
2024-01-26,2.1540,2.1540,,,1,-0.48,开放申购,开放赎回,,,,
2024-01-29,2.1253,2.1253,,,1,-1.33,开放申购,开放赎回,,,,
2024-01-30,2.0827,2.0827,,,1,-2.00,开放申购,开放赎回,,,,
2024-01-31,2.0332,2.0332,,,1,-2.38,开放申购,开放赎回,,,,
2024-02-01,2.0188,2.0188,,,1,-0.71,开放申购,开放赎回,,,,
2024-02-02,1.9708,1.9708,,,1,-2.38,开放申购,开放赎回,,,,
2024-02-05,1.9143,1.9143,,,1,-2.87,开放申购,开放赎回,,,,
2024-02-06,1.9988,1.9988,,,1,4.41,开放申购,开放赎回,,,,
2024-02-07,2.0393,2.0393,,,1,2.03,开放申购,开放赎回,,,,
2024-02-08,2.1002,2.1002,,,1,2.99,开放申购,开放赎回,,,,
2024-02-19,2.1121,2.1121,,,1,0.57,开放申购,开放赎回,,,,
2024-02-20,2.1178,2.1178,,,1,0.27,开放申购,开放赎回,,,,
2024-02-21,2.1403,2.1403,,,1,1.06,开放申购,开放赎回,,,,
2024-02-22,2.1546,2.1546,,,1,0.67,开放申购,开放赎回,,,,
2024-02-23,2.1654,2.1654,,,1,0.50,开放申购,开放赎回,,,,
2024-02-26,2.1677,2.1677,,,1,0.11,开放申购,开放赎回,,,,
2024-02-27,2.1964,2.1964,,,1,1.32,开放申购,开放赎回,,,,
2024-02-28,2.1378,2.1378,,,1,-2.67,开放申购,开放赎回,,,,
2024-02-29,2.1860,2.1860,,,1,2.25,开放申购,开放赎回,,,,
2024-03-01,2.2023,2.2023,,,1,0.75,开放申购,开放赎回,,,,
