FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2024-01-03,1.3350,1.3350,,,1,-0.96,限制大额申购,开放赎回,,,,
2024-01-04,1.3278,1.3278,,,1,-0.54,限制大额申购,开放赎回,,,,
2024-01-05,1.3349,1.3349,,,1,0.53,限制大额申购,开放赎回,,,,
2024-01-08,1.3702,1.3702,,,1,2.64,限制大额申购,开放赎回,,,,
2024-01-09,1.3756,1.3756,,,1,0.39,限制大额申购,开放赎回,,,,
2024-01-10,1.3883,1.3883,,,1,0.92,限制大额申购,开放赎回,,,,
2024-01-11,1.3895,1.3895,,,1,0.09,限制大额申购,开放赎回,,,,
2024-01-12,1.3881,1.3881,,,1,-0.10,限制大额申购,开放赎回,,,,
2024-01-15,1.3885,1.3885,,,1,0.03,暂停申购,暂停赎回,,,,
2024-01-16,1.3980,1.3980,,,1,0.68,限制大额申购,开放赎回,,,,
2024-01-17,1.3907,1.3907,,,1,-0.52,限制大额申购,开放赎回,,,,
2024-01-18,1.4149,1.4149,,,1,1.74,限制大额申购,开放赎回,,,,
2024-01-19,1.4539,1.4539,,,1,2.76,限制大额申购,开放赎回,,,,
2024-01-22,1.4494,1.4494,,,1,-0.31,限制大额申购,开放赎回,,,,
2024-01-23,1.4572,1.4572,,,1,0.54,限制大额申购,开放赎回,,,,
2024-01-24,1.4769,1.4769,,,1,1.35,限制大额申购,开放赎回,,,,
2024-01-25,1.4819,1.4819,,,1,0.34,限制大额申购,开放赎回,,,,
2024-01-26,1.4590,1.4590,,,1,-1.55,限制大额申购,开放赎回,,,,
2024-01-29,1.4730,1.4730,,,1,0.96,限制大额申购,开放赎回,,,,
2024-01-30,1.4600,1.4600,,,1,-0.88,限制大额申购,开放赎回,,,,
2024-01-31,1.4286,1.4286,,,1,-2.15,限制大额申购,开放赎回,,,,
2024-02-01,1.4464,1.4464,,,1,1.25,限制大额申购,开放赎回,,,,
2024-02-02,1.5015,1.5015,,,1,3.81,限制大额申购,开放赎回,,,,
2024-02-05,1.5010,1.5010,,,1,-0.03,限制大额申购,开放赎回,,,,
2024-02-06,1.4889,1.4889,,,1,-0.81,限制大额申购,开放赎回,,,,
2024-02-07,1.5101,1.5101,,,1,1.42,限制大额申购,开放赎回,,,,
2024-02-08,1.5105,1.5105,,,1,0.03,限制大额申购,开放赎回,,,,
2024-02-19,1.5087,1.5087,,,1,-0.12,暂停申购,暂停赎回,,,,
2024-02-20,1.4894,1.4894,,,1,-1.28,限制大额申购,开放赎回,,,,
2024-02-21,1.4820,1.4820,,,1,-0.50,限制大额申购,开放赎回,,,,
