FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2024-01-04,1.0925,1.0925,,,1,-0.60,开放申购,开放赎回,,,,
2024-01-05,1.0882,1.0882,,,1,-0.39,开放申购,开放赎回,,,,
2024-01-08,1.0707,1.0707,,,1,-1.61,开放申购,开放赎回,,,,
2024-01-09,1.0691,1.0691,,,1,-0.15,开放申购,开放赎回,,,,
2024-01-10,1.0673,1.0673,,,1,-0.17,开放申购,开放赎回,,,,
2024-01-11,1.0672,1.0672,,,1,-0.01,开放申购,开放赎回,,,,
2024-01-12,1.0711,1.0711,,,1,0.37,开放申购,开放赎回,,,,
2024-01-15,1.0678,1.0678,,,1,-0.31,开放申购,开放赎回,,,,
2024-01-16,1.0680,1.0680,,,1,0.02,开放申购,开放赎回,,,,
2024-01-17,1.0425,1.0425,,,1,-2.39,开放申购,开放赎回,,,,
2024-01-18,1.0543,1.0543,,,1,1.13,开放申购,开放赎回,,,,
2024-01-19,1.0519,1.0519,,,1,-0.23,开放申购,开放赎回,,,,
2024-01-22,1.0240,1.0240,,,1,-2.65,开放申购,开放赎回,,,,
2024-01-23,1.0323,1.0323,,,1,0.81,开放申购,开放赎回,,,,
2024-01-24,1.0501,1.0501,,,1,1.72,开放申购,开放赎回,,,,
2024-01-25,1.0733,1.0733,,,1,2.21,开放申购,开放赎回,,,,
2024-01-26,1.0672,1.0672,,,1,-0.57,开放申购,开放赎回,,,,
2024-01-29,1.0605,1.0605,,,1,-0.63,开放申购,开放赎回,,,,
2024-01-30,1.0419,1.0419,,,1,-1.75,开放申购,开放赎回,,,,
2024-01-31,1.0289,1.0289,,,1,-1.25,开放申购,开放赎回,,,,
2024-02-01,1.0310,1.0310,,,1,0.20,开放申购,开放赎回,,,,
2024-02-02,1.0166,1.0166,,,1,-1.40,开放申购,开放赎回,,,,
2024-02-05,1.0157,1.0157,,,1,-0.09,开放申购,开放赎回,,,,
2024-02-06,1.0602,1.0602,,,1,4.38,开放申购,开放赎回,,,,
2024-02-07,1.0869,1.0869,,,1,2.52,开放申购,开放赎回,,,,
2024-02-08,1.0950,1.0950,,,1,0.75,开放申购,开放赎回,,,,
2024-02-19,1.0910,1.0910,,,1,-0.37,开放申购,开放赎回,,,,
2024-02-20,1.0948,1.0948,,,1,0.35,开放申购,开放赎回,,,,
2024-02-21,1.0996,1.0996,,,1,0.44,开放申购,开放赎回,,,,
2024-02-22,1.1163,1.1163,,,1,1.52,开放申购,开放赎回,,,,
2024-02-23,1.1148,1.1148,,,1,-0.13,开放申购,开放赎回,,,,
2024-02-26,1.1121,1.1121,,,1,-0.24,开放申购,开放赎回,,,,
2024-02-27,1.1211,1.1211,,,1,0.81,开放申购,开放赎回,,,,
2024-02-28,1.1075,1.1075,,,1,-1.21,开放申购,开放赎回,,,,
2024-02-29,1.1233,1.1233,,,1,1.43,开放申购,开放赎回,,,,
2024-03-01,1.1319,1.1319,,,1,0.77,开放申购,开放赎回,,,,
2024-03-04,1.1318,1.1318,,,1,-0.01,开放申购,开放赎回,,,,
2024-03-05,1.1239,1.1239,,,1,-0.70,开放申购,开放赎回,,,,
2024-03-06,1.1232,1.1232,,,1,-0.06,开放申购,开放赎回,,,,
2024-03-07,1.1161,1.1161,,,1,-0.63,开放申购,开放赎回,,,,
2024-03-08,1.1291,1.1291,,,1,1.16,开放申购,开放赎回,,,,
2024-03-11,1.1447,1.1447,,,1,1.38,开放申购,开放赎回,,,,
2024-03-12,1.1517,1.1517,,,1,0.61,开放申购,开放赎回,,,,
2024-03-13,1.1497,1.1497,,,1,-0.17,开放申购,开放赎回,,,,
2024-03-14,1.1461,1.1461,,,1,-0.31,开放申购,开放赎回,,,,
2024-03-15,1.1431,1.1431,,,1,-0.26,开放申购,开放赎回,,,,
2024-03-18,1.1474,1.1474,,,1,0.38,开放申购,开放赎回,,,,
2024-03-19,1.1305,1.1305,,,1,-1.47,开放申购,开放赎回,,,,
2024-03-20,1.1283,1.1283,,,1,-0.19,开放申购,开放赎回,,,,
2024-03-21,1.1259,1.1259,,,1,-0.21,开放申购,开放赎回,,,,
