FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2024-01-04,1.1848,1.2558,,,1,-0.12,开放申购,开放赎回,,,,
2024-01-05,1.1782,1.2492,,,1,-0.56,开放申购,开放赎回,,,,
2024-01-08,1.1661,1.2371,,,1,-1.03,开放申购,开放赎回,,,,
2024-01-09,1.1700,1.2410,,,1,0.33,开放申购,开放赎回,,,,
2024-01-10,1.1657,1.2367,,,1,-0.37,开放申购,开放赎回,,,,
2024-01-11,1.1704,1.2414,,,1,0.40,开放申购,开放赎回,,,,
2024-01-12,1.1652,1.2362,,,1,-0.44,开放申购,开放赎回,,,,
2024-01-15,1.1672,1.2382,,,1,0.17,开放申购,开放赎回,,,,
2024-01-16,1.1710,1.2420,,,1,0.33,开放申购,开放赎回,,,,
2024-01-17,1.1563,1.2273,,,1,-1.26,开放申购,开放赎回,,,,
2024-01-18,1.1597,1.2307,,,1,0.29,开放申购,开放赎回,,,,
2024-01-19,1.1578,1.2288,,,1,-0.16,开放申购,开放赎回,,,,
2024-01-22,1.1375,1.2085,,,1,-1.75,开放申购,开放赎回,,,,
2024-01-23,1.1472,1.2182,,,1,0.85,开放申购,开放赎回,,,,
2024-01-24,1.1487,1.2197,,,1,0.13,开放申购,开放赎回,,,,
2024-01-25,1.1573,1.2283,,,1,0.75,开放申购,开放赎回,,,,
2024-01-26,1.1501,1.2211,,,1,-0.62,开放申购,开放赎回,,,,
2024-01-29,1.1455,1.2165,,,1,-0.40,开放申购,开放赎回,,,,
2024-01-30,1.1330,1.2040,,,1,-1.09,开放申购,开放赎回,,,,
2024-01-31,1.1223,1.1933,,,1,-0.94,开放申购,开放赎回,,,,
2024-02-01,1.1224,1.1934,,,1,0.01,开放申购,开放赎回,,,,
2024-02-02,1.1120,1.1830,,,1,-0.93,开放申购,开放赎回,,,,
2024-02-05,1.1059,1.1769,,,1,-0.55,开放申购,开放赎回,,,,
2024-02-06,1.1355,1.2065,,,1,2.68,开放申购,开放赎回,,,,
2024-02-07,1.1443,1.2153,,,1,0.77,开放申购,开放赎回,,,,
2024-02-08,1.1522,1.2232,,,1,0.69,开放申购,开放赎回,,,,
2024-02-19,1.1552,1.2262,,,1,0.26,开放申购,开放赎回,,,,
2024-02-20,1.1594,1.2304,,,1,0.36,开放申购,开放赎回,,,,
2024-02-21,1.1643,1.2353,,,1,0.42,开放申购,开放赎回,,,,
2024-02-22,1.1685,1.2395,,,1,0.36,开放申购,开放赎回,,,,
2024-02-23,1.1705,1.2415,,,1,0.17,开放申购,开放赎回,,,,
2024-02-26,1.1702,1.2412,,,1,-0.03,开放申购,开放赎回,,,,
2024-02-27,1.1850,1.2560,,,1,1.26,开放申购,开放赎回,,,,
2024-02-28,1.1732,1.2442,,,1,-1.00,开放申购,开放赎回,,,,
2024-02-29,1.1882,1.2592,,,1,1.28,开放申购,开放赎回,,,,
2024-03-01,1.1947,1.2657,,,1,0.55,开放申购,开放赎回,,,,
2024-03-04,1.1953,1.2663,,,1,0.05,开放申购,开放赎回,,,,
2024-03-05,1.1934,1.2644,,,1,-0.16,开放申购,开放赎回,,,,
2024-03-06,1.1980,1.2690,,,1,0.39,开放申购,开放赎回,,,,
2024-03-07,1.1885,1.2595,,,1,-0.79,开放申购,开放赎回,,,,
2024-03-08,1.1951,1.2661,,,1,0.56,开放申购,开放赎回,,,,
2024-03-11,1.2003,1.2713,,,1,0.44,开放申购,开放赎回,,,,
2024-03-12,1.2011,1.2721,,,1,0.07,开放申购,开放赎回,,,,
2024-03-13,1.2020,1.2730,,,1,0.07,开放申购,开放赎回,,,,
2024-03-14,1.2016,1.2726,,,1,-0.03,开放申购,开放赎回,,,,
2024-03-15,1.2020,1.2730,,,1,0.03,开放申购,开放赎回,,,,
2024-03-18,1.2075,1.2785,,,1,0.46,开放申购,开放赎回,,,,
2024-03-19,1.2073,1.2783,,,1,-0.02,开放申购,开放赎回,,,,
2024-03-20,1.2091,1.2801,,,1,0.15,开放申购,开放赎回,,,,
2024-03-21,1.2100,1.2810,,,1,0.07,开放申购,开放赎回,,,,
2024-03-22,1.2101,1.2811,,,1,0.01,开放申购,开放赎回,,,,
2024-03-25,1.1990,1.2700,,,1,-0.92,开放申购,开放赎回,,,,
2024-03-26,1.1960,1.2670,,,1,-0.25,开放申购,开放赎回,,,,
2024-03-27,1.1843,1.2553,,,1,-0.98,开放申购,开放赎回,,,,
2024-03-28,1.1928,1.2638,,,1,0.72,开放申购,开放赎回,,,,
2024-03-29,1.1951,1.2661,,,1,0.19,开放申购,开放赎回,,,,
2024-04-01,1.2021,1.2731,,,1,0.59,开放申购,开放赎回,,,,
2024-04-02,1.1958,1.2668,,,1,-0.52,开放申购,开放赎回,,,,
2024-04-03,1.1943,1.2653,,,1,-0.13,开放申购,开放赎回,,,,
2024-04-08,1.1881,1.2591,,,1,-0.52,开放申购,开放赎回,,,,
2024-04-09,1.1983,1.2693,,,1,0.86,开放申购,开放赎回,,,,
2024-04-10,1.1907,1.2617,,,1,-0.63,开放申购,开放赎回,,,,
2024-04-11,1.1887,1.2597,,,1,-0.17,开放申购,开放赎回,,,,
2024-04-12,1.1879,1.2589,,,1,-0.07,开放申购,开放赎回,,,,
2024-04-15,1.1956,1.2666,,,1,0.65,开放申购,开放赎回,,,,
2024-04-16,1.1853,1.2563,,,1,-0.86,开放申购,开放赎回,,,,
2024-04-17,1.1983,1.2693,,,1,1.10,开放申购,开放赎回,,,,
2024-04-18,1.1998,1.2708,,,1,0.13,开放申购,开放赎回,,,,
2024-04-19,1.1920,1.2630,,,1,-0.65,开放申购,开放赎回,,,,
2024-04-22,1.1978,1.2688,,,1,0.49,开放申购,开放赎回,,,,
2024-04-23,1.1921,1.2631,,,1,-0.48,开放申购,开放赎回,,,,
2024-04-24,1.1886,1.2596,,,1,-0.29,开放申购,开放赎回,,,,
2024-04-25,1.1919,1.2629,,,1,0.28,开放申购,开放赎回,,,,
2024-04-26,1.1957,1.2667,,,1,0.32,开放申购,开放赎回,,,,
2024-04-29,1.2110,1.2820,,,1,1.28,开放申购,开放赎回,,,,
2024-04-30,1.2143,1.2853,,,1,0.27,开放申购,开放赎回,,,,
2024-05-06,1.2322,1.3032,,,1,1.47,开放申购,开放赎回,,,,
2024-05-07,1.2326,1.3036,,,1,0.03,开放申购,开放赎回,,,,
2024-05-08,1.2239,1.2949,,,1,-0.71,开放申购,开放赎回,,,,
2024-05-09,1.2355,1.3065,,,1,0.95,开放申购,开放赎回,,,,
2024-05-10,1.2335,1.3045,,,1,-0.16,开放申购,开放赎回,,,,
2024-05-13,1.2402,1.3112,,,1,0.54,开放申购,开放赎回,,,,
2024-05-14,1.2456,1.3166,,,1,0.44,开放申购,开放赎回,,,,
2024-05-15,1.2414,1.3124,,,1,-0.34,开放申购,开放赎回,,,,
2024-05-16,1.2436,1.3146,,,1,0.18,开放申购,开放赎回,,,,
2024-05-17,1.2418,1.3128,,,1,-0.14,开放申购,开放赎回,,,,
