FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2024-01-04,1.8044,1.8044,,,1,-0.73,开放申购,开放赎回,,,,
2024-01-05,1.7823,1.7823,,,1,-1.22,开放申购,开放赎回,,,,
2024-01-08,1.7562,1.7562,,,1,-1.46,开放申购,开放赎回,,,,
2024-01-09,1.7701,1.7701,,,1,0.79,开放申购,开放赎回,,,,
2024-01-10,1.7697,1.7697,,,1,-0.02,开放申购,开放赎回,,,,
2024-01-11,1.7965,1.7965,,,1,1.51,开放申购,开放赎回,,,,
2024-01-12,1.7922,1.7922,,,1,-0.24,开放申购,开放赎回,,,,
2024-01-15,1.7857,1.7857,,,1,-0.36,开放申购,开放赎回,,,,
2024-01-16,1.7894,1.7894,,,1,0.21,开放申购,开放赎回,,,,
2024-01-17,1.7547,1.7547,,,1,-1.94,开放申购,开放赎回,,,,
2024-01-18,1.7597,1.7597,,,1,0.28,开放申购,开放赎回,,,,
2024-01-19,1.7495,1.7495,,,1,-0.58,开放申购,开放赎回,,,,
2024-01-22,1.6881,1.6881,,,1,-3.51,开放申购,开放赎回,,,,
2024-01-23,1.6936,1.6936,,,1,0.33,开放申购,开放赎回,,,,
2024-01-24,1.7034,1.7034,,,1,0.58,开放申购,开放赎回,,,,
2024-01-25,1.7344,1.7344,,,1,1.82,开放申购,开放赎回,,,,
2024-01-26,1.7257,1.7257,,,1,-0.50,开放申购,开放赎回,,,,
2024-01-29,1.7018,1.7018,,,1,-1.38,开放申购,开放赎回,,,,
2024-01-30,1.6661,1.6661,,,1,-2.10,开放申购,开放赎回,,,,
2024-01-31,1.6270,1.6270,,,1,-2.35,开放申购,开放赎回,,,,
2024-02-01,1.6155,1.6155,,,1,-0.71,开放申购,开放赎回,,,,
2024-02-02,1.5759,1.5759,,,1,-2.45,开放申购,开放赎回,,,,
2024-02-05,1.5283,1.5283,,,1,-3.02,开放申购,开放赎回,,,,
2024-02-06,1.5996,1.5996,,,1,4.67,开放申购,开放赎回,,,,
2024-02-07,1.6333,1.6333,,,1,2.11,开放申购,开放赎回,,,,
2024-02-08,1.6852,1.6852,,,1,3.18,开放申购,开放赎回,,,,
2024-02-19,1.6945,1.6945,,,1,0.55,开放申购,开放赎回,,,,
2024-02-20,1.6985,1.6985,,,1,0.24,开放申购,开放赎回,,,,
2024-02-21,1.7169,1.7169,,,1,1.08,开放申购,开放赎回,,,,
2024-02-22,1.7268,1.7268,,,1,0.58,开放申购,开放赎回,,,,
2024-02-23,1.7349,1.7349,,,1,0.47,开放申购,开放赎回,,,,
2024-02-26,1.7365,1.7365,,,1,0.09,开放申购,开放赎回,,,,
2024-02-27,1.7576,1.7576,,,1,1.22,开放申购,开放赎回,,,,
2024-02-28,1.7133,1.7133,,,1,-2.52,开放申购,开放赎回,,,,
2024-02-29,1.7495,1.7495,,,1,2.11,开放申购,开放赎回,,,,
2024-03-01,1.7617,1.7617,,,1,0.70,开放申购,开放赎回,,,,
2024-03-04,1.7660,1.7660,,,1,0.24,开放申购,开放赎回,,,,
2024-03-05,1.7563,1.7563,,,1,-0.55,开放申购,开放赎回,,,,
2024-03-06,1.7629,1.7629,,,1,0.38,开放申购,开放赎回,,,,
2024-03-07,1.7442,1.7442,,,1,-1.06,开放申购,开放赎回,,,,
2024-03-08,1.7549,1.7549,,,1,0.61,开放申购,开放赎回,,,,
2024-03-11,1.7870,1.7870,,,1,1.83,开放申购,开放赎回,,,,
2024-03-12,1.8189,1.8189,,,1,1.79,开放申购,开放赎回,,,,
2024-03-13,1.8172,1.8172,,,1,-0.09,开放申购,开放赎回,,,,
2024-03-14,1.8101,1.8101,,,1,-0.39,开放申购,开放赎回,,,,
2024-03-15,1.8242,1.8242,,,1,0.78,开放申购,开放赎回,,,,
2024-03-18,1.8477,1.8477,,,1,1.29,开放申购,开放赎回,,,,
2024-03-19,1.8355,1.8355,,,1,-0.66,开放申购,开放赎回,,,,
2024-03-20,1.8437,1.8437,,,1,0.45,开放申购,开放赎回,,,,
2024-03-21,1.8458,1.8458,,,1,0.11,开放申购,开放赎回,,,,
2024-03-22,1.8153,1.8153,,,1,-1.65,开放申购,开放赎回,,,,
2024-03-25,1.7886,1.7886,,,1,-1.47,开放申购,开放赎回,,,,
2024-03-26,1.7932,1.7932,,,1,0.26,开放申购,开放赎回,,,,
2024-03-27,1.7626,1.7626,,,1,-1.71,开放申购,开放赎回,,,,
2024-03-28,1.7834,1.7834,,,1,1.18,开放申购,开放赎回,,,,
2024-03-29,1.8022,1.8022,,,1,1.05,开放申购,开放赎回,,,,
2024-04-01,1.8294,1.8294,,,1,1.51,开放申购,开放赎回,,,,
2024-04-02,1.8253,1.8253,,,1,-0.22,开放申购,开放赎回,,,,
2024-04-03,1.8174,1.8174,,,1,-0.43,开放申购,开放赎回,,,,
2024-04-08,1.7902,1.7902,,,1,-1.50,开放申购,开放赎回,,,,
2024-04-09,1.8121,1.8121,,,1,1.22,开放申购,开放赎回,,,,
2024-04-10,1.7957,1.7957,,,1,-0.91,开放申购,开放赎回,,,,
2024-04-11,1.7954,1.7954,,,1,-0.02,开放申购,开放赎回,,,,
2024-04-12,1.7899,1.7899,,,1,-0.31,开放申购,开放赎回,,,,
2024-04-15,1.7888,1.7888,,,1,-0.06,开放申购,开放赎回,,,,
2024-04-16,1.7433,1.7433,,,1,-2.54,开放申购,开放赎回,,,,
2024-04-17,1.7946,1.7946,,,1,2.94,开放申购,开放赎回,,,,
2024-04-18,1.8015,1.8015,,,1,0.38,开放申购,开放赎回,,,,
2024-04-19,1.8060,1.8060,,,1,0.25,开放申购,开放赎回,,,,
2024-04-22,1.8080,1.8080,,,1,0.11,开放申购,开放赎回,,,,
2024-04-23,1.7999,1.7999,,,1,-0.45,开放申购,开放赎回,,,,
2024-04-24,1.8166,1.8166,,,1,0.93,开放申购,开放赎回,,,,
2024-04-25,1.8196,1.8196,,,1,0.17,开放申购,开放赎回,,,,
2024-04-26,1.8404,1.8404,,,1,1.14,开放申购,开放赎回,,,,
2024-04-29,1.8631,1.8631,,,1,1.23,开放申购,开放赎回,,,,
2024-04-30,1.8559,1.8559,,,1,-0.39,开放申购,开放赎回,,,,
2024-05-06,1.8945,1.8945,,,1,2.08,开放申购,开放赎回,,,,
2024-05-07,1.9097,1.9097,,,1,0.80,开放申购,开放赎回,,,,
2024-05-08,1.8899,1.8899,,,1,-1.04,开放申购,开放赎回,,,,
2024-05-09,1.9178,1.9178,,,1,1.48,开放申购,开放赎回,,,,
2024-05-10,1.9179,1.9179,,,1,0.01,开放申购,开放赎回,,,,
2024-05-13,1.9111,1.9111,,,1,-0.35,开放申购,开放赎回,,,,
2024-05-14,1.9165,1.9165,,,1,0.28,开放申购,开放赎回,,,,
2024-05-15,1.9047,1.9047,,,1,-0.62,开放申购,开放赎回,,,,
2024-05-16,1.9074,1.9074,,,1,0.14,开放申购,开放赎回,,,,
2024-05-17,1.9279,1.9279,,,1,1.07,开放申购,开放赎回,,,,
2024-05-20,1.9421,1.9421,,,1,0.74,开放申购,开放赎回,,,,
2024-05-21,1.9280,1.9280,,,1,-0.73,开放申购,开放赎回,,,,
2024-05-22,1.9305,1.9305,,,1,0.13,开放申购,开放赎回,,,,
2024-05-23,1.8980,1.8980,,,1,-1.68,开放申购,开放赎回,,,,
2024-05-24,1.8820,1.8820,,,1,-0.84,开放申购,开放赎回,,,,
2024-05-27,1.8946,1.8946,,,1,0.67,开放申购,开放赎回,,,,
2024-05-28,1.8800,1.8800,,,1,-0.77,开放申购,开放赎回,,,,
2024-05-29,1.8814,1.8814,,,1,0.07,开放申购,开放赎回,,,,
2024-05-30,1.8703,1.8703,,,1,-0.59,开放申购,开放赎回,,,,
2024-05-31,1.8790,1.8790,,,1,0.47,开放申购,开放赎回,,,,
2024-06-03,1.8624,1.8624,,,1,-0.88,开放申购,开放赎回,,,,
2024-06-04,1.8827,1.8827,,,1,1.09,开放申购,开放赎回,,,,
2024-06-05,1.8669,1.8669,,,1,-0.84,开放申购,开放赎回,,,,
2024-06-06,1.8480,1.8480,,,1,-1.01,开放申购,开放赎回,,,,
2024-06-07,1.8546,1.8546,,,1,0.36,开放申购,开放赎回,,,,
2024-06-11,1.8506,1.8506,,,1,-0.22,开放申购,开放赎回,,,,
2024-06-12,1.8560,1.8560,,,1,0.29,开放申购,开放赎回,,,,
2024-06-13,1.8402,1.8402,,,1,-0.85,开放申购,开放赎回,,,,
2024-06-14,1.8448,1.8448,,,1,0.25,开放申购,开放赎回,,,,
2024-06-17,1.8356,1.8356,,,1,-0.50,开放申购,开放赎回,,,,
2024-06-18,1.8421,1.8421,,,1,0.35,开放申购,开放赎回,,,,
2024-06-19,1.8315,1.8315,,,1,-0.58,开放申购,开放赎回,,,,
2024-06-20,1.8095,1.8095,,,1,-1.20,开放申购,开放赎回,,,,
2024-06-21,1.8114,1.8114,,,1,0.11,开放申购,开放赎回,,,,
2024-06-24,1.7788,1.7788,,,1,-1.80,开放申购,开放赎回,,,,
2024-06-25,1.7763,1.7763,,,1,-0.14,开放申购,开放赎回,,,,
2024-06-26,1.7981,1.7981,,,1,1.23,开放申购,开放赎回,,,,
2024-06-27,1.7731,1.7731,,,1,-1.39,开放申购,开放赎回,,,,
2024-06-28,1.7814,1.7814,,,1,0.47,开放申购,开放赎回,,,,
2024-06-30,1.7813,1.7813,,,0,-0.01,开放申购,开放赎回,,,,
2024-07-01,1.7967,1.7967,,,1,0.86,开放申购,开放赎回,,,,
2024-07-02,1.7857,1.7857,,,1,-0.61,开放申购,开放赎回,,,,
2024-07-03,1.7696,1.7696,,,1,-0.90,开放申购,开放赎回,,,,
2024-07-04,1.7441,1.7441,,,1,-1.44,开放申购,开放赎回,,,,
2024-07-05,1.7614,1.7614,,,1,0.99,开放申购,开放赎回,,,,
2024-07-08,1.7343,1.7343,,,1,-1.54,开放申购,开放赎回,,,,
2024-07-09,1.7552,1.7552,,,1,1.21,开放申购,开放赎回,,,,
2024-07-10,1.7407,1.7407,,,1,-0.83,开放申购,开放赎回,,,,
2024-07-11,1.7842,1.7842,,,1,2.50,开放申购,开放赎回,,,,
2024-07-12,1.7808,1.7808,,,1,-0.19,开放申购,开放赎回,,,,
2024-07-15,1.7693,1.7693,,,1,-0.65,开放申购,开放赎回,,,,
2024-07-16,1.7715,1.7715,,,1,0.12,开放申购,开放赎回,,,,
2024-07-17,1.7695,1.7695,,,1,-0.11,开放申购,开放赎回,,,,
2024-07-18,1.7697,1.7697,,,1,0.01,开放申购,开放赎回,,,,
2024-07-19,1.7695,1.7695,,,1,-0.01,开放申购,开放赎回,,,,
2024-07-22,1.7625,1.7625,,,1,-0.40,开放申购,开放赎回,,,,
2024-07-23,1.7205,1.7205,,,1,-2.38,开放申购,开放赎回,,,,
2024-07-24,1.7051,1.7051,,,1,-0.90,开放申购,开放赎回,,,,
2024-07-25,1.7088,1.7088,,,1,0.22,开放申购,开放赎回,,,,
2024-07-26,1.7302,1.7302,,,1,1.25,开放申购,开放赎回,,,,
2024-07-29,1.7125,1.7125,,,1,-1.02,开放申购,开放赎回,,,,
2024-07-30,1.7136,1.7136,,,1,0.06,开放申购,开放赎回,,,,
2024-07-31,1.7635,1.7635,,,1,2.91,开放申购,开放赎回,,,,
2024-08-01,1.7523,1.7523,,,1,-0.64,开放申购,开放赎回,,,,
2024-08-02,1.7403,1.7403,,,1,-0.68,开放申购,开放赎回,,,,
2024-08-05,1.7179,1.7179,,,1,-1.29,开放申购,开放赎回,,,,
2024-08-06,1.7379,1.7379,,,1,1.16,开放申购,开放赎回,,,,
2024-08-07,1.7341,1.7341,,,1,-0.22,开放申购,开放赎回,,,,
2024-08-08,1.7385,1.7385,,,1,0.25,开放申购,开放赎回,,,,
2024-08-09,1.7296,1.7296,,,1,-0.51,开放申购,开放赎回,,,,
2024-08-12,1.7276,1.7276,,,1,-0.12,开放申购,开放赎回,,,,
2024-08-13,1.7285,1.7285,,,1,0.05,开放申购,开放赎回,,,,
