FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2024-01-04,2.9120,3.7720,,,1,-0.75,开放申购,开放赎回,,,,
2024-01-05,2.8890,3.7490,,,1,-0.79,开放申购,开放赎回,,,,
2024-01-08,2.8330,3.6930,,,1,-1.94,开放申购,开放赎回,,,,
2024-01-09,2.8460,3.7060,,,1,0.46,开放申购,开放赎回,,,,
2024-01-10,2.8270,3.6870,,,1,-0.67,开放申购,开放赎回,,,,
2024-01-11,2.8500,3.7100,,,1,0.81,开放申购,开放赎回,,,,
2024-01-12,2.8310,3.6910,,,1,-0.67,开放申购,开放赎回,,,,
2024-01-15,2.8390,3.6990,,,1,0.28,开放申购,开放赎回,,,,
2024-01-16,2.8430,3.7030,,,1,0.14,开放申购,开放赎回,,,,
2024-01-17,2.7830,3.6430,,,1,-2.11,开放申购,开放赎回,,,,
2024-01-18,2.7960,3.6560,,,1,0.47,开放申购,开放赎回,,,,
2024-01-19,2.7930,3.6530,,,1,-0.11,开放申购,开放赎回,,,,
2024-01-22,2.7020,3.5620,,,1,-3.26,开放申购,开放赎回,,,,
2024-01-23,2.7280,3.5880,,,1,0.96,开放申购,开放赎回,,,,
2024-01-24,2.7330,3.5930,,,1,0.18,开放申购,开放赎回,,,,
2024-01-25,2.7870,3.6470,,,1,1.98,开放申购,开放赎回,,,,
2024-01-26,2.7430,3.6030,,,1,-1.58,开放申购,开放赎回,,,,
2024-01-29,2.6960,3.5560,,,1,-1.71,开放申购,开放赎回,,,,
2024-01-30,2.6490,3.5090,,,1,-1.74,开放申购,开放赎回,,,,
2024-01-31,2.6010,3.4610,,,1,-1.81,开放申购,开放赎回,,,,
2024-02-01,2.6050,3.4650,,,1,0.15,开放申购,开放赎回,,,,
2024-02-02,2.5580,3.4180,,,1,-1.80,开放申购,开放赎回,,,,
2024-02-05,2.5530,3.4130,,,1,-0.20,开放申购,开放赎回,,,,
2024-02-06,2.6770,3.5370,,,1,4.86,开放申购,开放赎回,,,,
2024-02-07,2.7610,3.6210,,,1,3.14,开放申购,开放赎回,,,,
2024-02-08,2.8050,3.6650,,,1,1.59,开放申购,开放赎回,,,,
2024-02-19,2.8130,3.6730,,,1,0.29,开放申购,开放赎回,,,,
2024-02-20,2.8180,3.6780,,,1,0.18,开放申购,开放赎回,,,,
2024-02-21,2.8220,3.6820,,,1,0.14,开放申购,开放赎回,,,,
2024-02-22,2.8380,3.6980,,,1,0.57,开放申购,开放赎回,,,,
2024-02-23,2.8460,3.7060,,,1,0.28,开放申购,开放赎回,,,,
2024-02-26,2.8510,3.7110,,,1,0.18,开放申购,开放赎回,,,,
2024-02-27,2.9020,3.7620,,,1,1.79,开放申购,开放赎回,,,,
2024-02-28,2.8250,3.6850,,,1,-2.65,开放申购,开放赎回,,,,
2024-02-29,2.9040,3.7640,,,1,2.80,开放申购,开放赎回,,,,
2024-03-01,2.9290,3.7890,,,1,0.86,开放申购,开放赎回,,,,
2024-03-04,2.9650,3.8250,,,1,1.23,开放申购,开放赎回,,,,
2024-03-05,2.9660,3.8260,,,1,0.03,开放申购,开放赎回,,,,
2024-03-06,2.9440,3.8040,,,1,-0.74,开放申购,开放赎回,,,,
2024-03-07,2.9180,3.7780,,,1,-0.88,开放申购,开放赎回,,,,
2024-03-08,2.9670,3.8270,,,1,1.68,开放申购,开放赎回,,,,
2024-03-11,3.0010,3.8610,,,1,1.15,开放申购,开放赎回,,,,
2024-03-12,3.0180,3.8780,,,1,0.57,开放申购,开放赎回,,,,
2024-03-13,3.0160,3.8760,,,1,-0.07,开放申购,开放赎回,,,,
2024-03-14,2.9890,3.8490,,,1,-0.90,开放申购,开放赎回,,,,
2024-03-15,3.0030,3.8630,,,1,0.47,开放申购,开放赎回,,,,
2024-03-18,3.0440,3.9040,,,1,1.37,开放申购,开放赎回,,,,
2024-03-19,3.0180,3.8780,,,1,-0.85,开放申购,开放赎回,,,,
2024-03-20,3.0150,3.8750,,,1,-0.10,开放申购,开放赎回,,,,
2024-03-21,3.0030,3.8630,,,1,-0.40,开放申购,开放赎回,,,,
2024-03-22,2.9850,3.8450,,,1,-0.60,开放申购,开放赎回,,,,
2024-03-25,2.9490,3.8090,,,1,-1.21,开放申购,开放赎回,,,,
2024-03-26,2.9540,3.8140,,,1,0.17,开放申购,开放赎回,,,,
