FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2024-01-04,1.0973,1.0973,,,1,-0.25,开放申购,开放赎回,,,,
2024-01-05,1.0898,1.0898,,,1,-0.68,开放申购,开放赎回,,,,
2024-01-08,1.0808,1.0808,,,1,-0.83,开放申购,开放赎回,,,,
2024-01-09,1.0825,1.0825,,,1,0.16,开放申购,开放赎回,,,,
2024-01-10,1.0793,1.0793,,,1,-0.30,开放申购,开放赎回,,,,
2024-01-11,1.0790,1.0790,,,1,-0.03,开放申购,开放赎回,,,,
2024-01-12,1.0779,1.0779,,,1,-0.10,开放申购,开放赎回,,,,
2024-01-15,1.0775,1.0775,,,1,-0.04,开放申购,开放赎回,,,,
2024-01-16,1.0781,1.0781,,,1,0.06,开放申购,开放赎回,,,,
2024-01-17,1.0592,1.0592,,,1,-1.75,开放申购,开放赎回,,,,
2024-01-18,1.0505,1.0505,,,1,-0.82,开放申购,开放赎回,,,,
2024-01-19,1.0434,1.0434,,,1,-0.68,开放申购,开放赎回,,,,
2024-01-22,1.0072,1.0072,,,1,-3.47,开放申购,开放赎回,,,,
2024-01-23,1.0117,1.0117,,,1,0.45,开放申购,开放赎回,,,,
2024-01-24,1.0398,1.0398,,,1,2.78,开放申购,开放赎回,,,,
2024-01-25,1.0670,1.0670,,,1,2.62,开放申购,开放赎回,,,,
2024-01-26,1.0733,1.0733,,,1,0.59,开放申购,开放赎回,,,,
2024-01-29,1.0684,1.0684,,,1,-0.46,开放申购,开放赎回,,,,
2024-01-30,1.0507,1.0507,,,1,-1.66,开放申购,开放赎回,,,,
2024-01-31,1.0380,1.0380,,,1,-1.21,开放申购,开放赎回,,,,
2024-02-01,1.0283,1.0283,,,1,-0.93,开放申购,开放赎回,,,,
2024-02-02,1.0174,1.0174,,,1,-1.06,开放申购,开放赎回,,,,
2024-02-05,0.9976,0.9976,,,1,-1.95,开放申购,开放赎回,,,,
2024-02-06,1.0393,1.0393,,,1,4.18,开放申购,开放赎回,,,,
