FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2024-01-04,3.8970,3.9850,,,1,-0.66,开放申购,开放赎回,,,,
2024-01-05,3.8610,3.9490,,,1,-0.92,开放申购,开放赎回,,,,
2024-01-08,3.7980,3.8860,,,1,-1.63,开放申购,开放赎回,,,,
2024-01-09,3.8030,3.8910,,,1,0.13,开放申购,开放赎回,,,,
2024-01-10,3.7890,3.8770,,,1,-0.37,开放申购,开放赎回,,,,
2024-01-11,3.8110,3.8990,,,1,0.58,开放申购,开放赎回,,,,
2024-01-12,3.7970,3.8850,,,1,-0.37,开放申购,开放赎回,,,,
2024-01-15,3.7870,3.8750,,,1,-0.26,开放申购,开放赎回,,,,
2024-01-16,3.7830,3.8710,,,1,-0.11,开放申购,开放赎回,,,,
2024-01-17,3.7070,3.7950,,,1,-2.01,开放申购,开放赎回,,,,
2024-01-18,3.7110,3.7990,,,1,0.11,开放申购,开放赎回,,,,
2024-01-19,3.7030,3.7910,,,1,-0.22,开放申购,开放赎回,,,,
2024-01-22,3.5830,3.6710,,,1,-3.24,开放申购,开放赎回,,,,
2024-01-23,3.6100,3.6980,,,1,0.75,开放申购,开放赎回,,,,
2024-01-24,3.6420,3.7300,,,1,0.89,开放申购,开放赎回,,,,
2024-01-25,3.7290,3.8170,,,1,2.39,开放申购,开放赎回,,,,
2024-01-26,3.6940,3.7820,,,1,-0.94,开放申购,开放赎回,,,,
2024-01-29,3.6430,3.7310,,,1,-1.38,开放申购,开放赎回,,,,
2024-01-30,3.5740,3.6620,,,1,-1.89,开放申购,开放赎回,,,,
2024-01-31,3.5130,3.6010,,,1,-1.71,开放申购,开放赎回,,,,
2024-02-01,3.5030,3.5910,,,1,-0.28,开放申购,开放赎回,,,,
2024-02-02,3.4280,3.5160,,,1,-2.14,开放申购,开放赎回,,,,
2024-02-05,3.3710,3.4590,,,1,-1.66,开放申购,开放赎回,,,,
2024-02-06,3.5050,3.5930,,,1,3.98,开放申购,开放赎回,,,,
2024-02-07,3.5730,3.6610,,,1,1.94,开放申购,开放赎回,,,,
2024-02-08,3.6650,3.7530,,,1,2.57,开放申购,开放赎回,,,,
2024-02-19,3.6630,3.7510,,,1,-0.05,开放申购,开放赎回,,,,
2024-02-20,3.6610,3.7490,,,1,-0.05,开放申购,开放赎回,,,,
2024-02-21,3.6870,3.7750,,,1,0.71,开放申购,开放赎回,,,,
2024-02-22,3.7110,3.7990,,,1,0.65,开放申购,开放赎回,,,,
2024-02-23,3.7350,3.8230,,,1,0.65,开放申购,开放赎回,,,,
2024-02-26,3.7510,3.8390,,,1,0.43,开放申购,开放赎回,,,,
2024-02-27,3.8030,3.8910,,,1,1.39,开放申购,开放赎回,,,,
2024-02-28,3.6990,3.7870,,,1,-2.73,开放申购,开放赎回,,,,
2024-02-29,3.7850,3.8730,,,1,2.32,开放申购,开放赎回,,,,
2024-03-01,3.8080,3.8960,,,1,0.61,开放申购,开放赎回,,,,
2024-03-04,3.8090,3.8970,,,1,0.03,开放申购,开放赎回,,,,
2024-03-05,3.7940,3.8820,,,1,-0.39,开放申购,开放赎回,,,,
2024-03-06,3.8020,3.8900,,,1,0.21,开放申购,开放赎回,,,,
2024-03-07,3.7740,3.8620,,,1,-0.74,开放申购,开放赎回,,,,
2024-03-08,3.7830,3.8710,,,1,0.24,开放申购,开放赎回,,,,
2024-03-11,3.8330,3.9210,,,1,1.32,开放申购,开放赎回,,,,
2024-03-12,3.8530,3.9410,,,1,0.52,开放申购,开放赎回,,,,
2024-03-13,3.8490,3.9370,,,1,-0.10,开放申购,开放赎回,,,,
2024-03-14,3.8200,3.9080,,,1,-0.75,开放申购,开放赎回,,,,
2024-03-15,3.8510,3.9390,,,1,0.81,开放申购,开放赎回,,,,
2024-03-18,3.8850,3.9730,,,1,0.88,开放申购,开放赎回,,,,
2024-03-19,3.8690,3.9570,,,1,-0.41,开放申购,开放赎回,,,,
2024-03-20,3.8820,3.9700,,,1,0.34,开放申购,开放赎回,,,,
2024-03-21,3.8790,3.9670,,,1,-0.08,开放申购,开放赎回,,,,
2024-03-22,3.8430,3.9310,,,1,-0.93,开放申购,开放赎回,,,,
2024-03-25,3.7920,3.8800,,,1,-1.33,开放申购,开放赎回,,,,
2024-03-26,3.8020,3.8900,,,1,0.26,开放申购,开放赎回,,,,
2024-03-27,3.7370,3.8250,,,1,-1.71,开放申购,开放赎回,,,,
2024-03-28,3.7720,3.8600,,,1,0.94,开放申购,开放赎回,,,,
2024-03-29,3.8010,3.8890,,,1,0.77,开放申购,开放赎回,,,,
2024-04-01,3.8650,3.9530,,,1,1.68,开放申购,开放赎回,,,,
2024-04-02,3.8550,3.9430,,,1,-0.26,开放申购,开放赎回,,,,
2024-04-03,3.8540,3.9420,,,1,-0.03,开放申购,开放赎回,,,,
2024-04-08,3.7950,3.8830,,,1,-1.53,开放申购,开放赎回,,,,
2024-04-09,3.8270,3.9150,,,1,0.84,开放申购,开放赎回,,,,
2024-04-10,3.7950,3.8830,,,1,-0.84,开放申购,开放赎回,,,,
2024-04-11,3.8380,3.9260,,,1,1.13,开放申购,开放赎回,,,,
2024-04-12,3.8180,3.9060,,,1,-0.52,开放申购,开放赎回,,,,
2024-04-15,3.8370,3.9250,,,1,0.50,开放申购,开放赎回,,,,
2024-04-16,3.7450,3.8330,,,1,-2.40,开放申购,开放赎回,,,,
2024-04-17,3.8470,3.9350,,,1,2.72,开放申购,开放赎回,,,,
2024-04-18,3.8540,3.9420,,,1,0.18,开放申购,开放赎回,,,,
2024-04-19,3.8420,3.9300,,,1,-0.31,开放申购,开放赎回,,,,
2024-04-22,3.8320,3.9200,,,1,-0.26,开放申购,开放赎回,,,,
2024-04-23,3.8290,3.9170,,,1,-0.08,开放申购,开放赎回,,,,
2024-04-24,3.8550,3.9430,,,1,0.68,开放申购,开放赎回,,,,
2024-04-25,3.8780,3.9660,,,1,0.60,开放申购,开放赎回,,,,
2024-04-26,3.9230,4.0110,,,1,1.16,开放申购,开放赎回,,,,
2024-04-29,3.9720,4.0600,,,1,1.25,开放申购,开放赎回,,,,
2024-04-30,3.9580,4.0460,,,1,-0.35,开放申购,开放赎回,,,,
2024-05-06,4.0370,4.1250,,,1,2.00,开放申购,开放赎回,,,,
2024-05-07,4.0380,4.1260,,,1,0.02,开放申购,开放赎回,,,,
2024-05-08,4.0020,4.0900,,,1,-0.89,开放申购,开放赎回,,,,
2024-05-09,4.0560,4.1440,,,1,1.35,开放申购,开放赎回,,,,
2024-05-10,4.0420,4.1300,,,1,-0.35,开放申购,开放赎回,,,,
2024-05-13,4.0490,4.1370,,,1,0.17,开放申购,开放赎回,,,,
2024-05-14,4.0670,4.1550,,,1,0.44,开放申购,开放赎回,,,,
2024-05-15,4.0340,4.1220,,,1,-0.81,开放申购,开放赎回,,,,
2024-05-16,4.0360,4.1240,,,1,0.05,开放申购,开放赎回,,,,
2024-05-17,4.0730,4.1610,,,1,0.92,开放申购,开放赎回,,,,
2024-05-20,4.0640,4.1520,,,1,-0.22,开放申购,开放赎回,,,,
2024-05-21,4.0500,4.1380,,,1,-0.34,开放申购,开放赎回,,,,
2024-05-22,4.0640,4.1520,,,1,0.35,开放申购,开放赎回,,,,
2024-05-23,4.0340,4.1220,,,1,-0.74,开放申购,开放赎回,,,,
2024-05-24,3.9950,4.0830,,,1,-0.97,开放申购,开放赎回,,,,
2024-05-27,4.0230,4.1110,,,1,0.70,开放申购,开放赎回,,,,
2024-05-28,3.9800,4.0680,,,1,-1.07,开放申购,开放赎回,,,,
2024-05-29,3.9870,4.0750,,,1,0.18,开放申购,开放赎回,,,,
2024-05-30,3.9900,4.0780,,,1,0.08,开放申购,开放赎回,,,,
2024-05-31,4.0030,4.0910,,,1,0.33,开放申购,开放赎回,,,,
2024-06-03,4.0050,4.0930,,,1,0.05,开放申购,开放赎回,,,,
2024-06-04,4.0310,4.1190,,,1,0.65,开放申购,开放赎回,,,,
2024-06-05,3.9840,4.0720,,,1,-1.17,开放申购,开放赎回,,,,
2024-06-06,3.9480,4.0360,,,1,-0.90,开放申购,开放赎回,,,,
2024-06-07,3.9420,4.0300,,,1,-0.15,开放申购,开放赎回,,,,
2024-06-11,3.9480,4.0360,,,1,0.15,开放申购,开放赎回,,,,
2024-06-12,3.9640,4.0520,,,1,0.41,开放申购,开放赎回,,,,
2024-06-13,3.9470,4.0350,,,1,-0.43,开放申购,开放赎回,,,,
2024-06-14,3.9620,4.0500,,,1,0.38,开放申购,开放赎回,,,,
2024-06-17,3.9900,4.0780,,,1,0.71,开放申购,开放赎回,,,,
2024-06-18,4.0350,4.1230,,,1,1.13,开放申购,开放赎回,,,,
