FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2024-01-04,1.4907,1.7550,,,1,0.53,限制大额申购,开放赎回,,,,
2024-01-05,1.4942,1.7585,,,1,0.23,限制大额申购,开放赎回,,,,
2024-01-08,1.4852,1.7495,,,1,-0.60,限制大额申购,开放赎回,,,,
2024-01-09,1.4882,1.7525,,,1,0.20,限制大额申购,开放赎回,,,,
2024-01-10,1.4812,1.7455,,,1,-0.47,限制大额申购,开放赎回,,,,
2024-01-11,1.4725,1.7368,,,1,-0.59,限制大额申购,开放赎回,,,,
2024-01-12,1.4798,1.7441,,,1,0.50,限制大额申购,开放赎回,,,,
2024-01-15,1.4883,1.7526,,,1,0.57,限制大额申购,开放赎回,,,,
2024-01-16,1.5000,1.7643,,,1,0.79,限制大额申购,开放赎回,,,,
2024-01-17,1.4872,1.7515,,,1,-0.85,限制大额申购,开放赎回,,,,
2024-01-18,1.4850,1.7493,,,1,-0.15,限制大额申购,开放赎回,,,,
2024-01-19,1.4827,1.7470,,,1,-0.15,限制大额申购,开放赎回,,,,
2024-01-22,1.4709,1.7352,,,1,-0.80,限制大额申购,开放赎回,,,,
2024-01-23,1.4732,1.7375,,,1,0.16,限制大额申购,开放赎回,,,,
2024-01-24,1.4984,1.7627,,,1,1.71,限制大额申购,开放赎回,,,,
2024-01-25,1.5157,1.7800,,,1,1.15,限制大额申购,开放赎回,,,,
2024-01-26,1.5347,1.7990,,,1,1.25,限制大额申购,开放赎回,,,,
2024-01-29,1.5465,1.8108,,,1,0.77,限制大额申购,开放赎回,,,,
2024-01-30,1.5331,1.7974,,,1,-0.87,限制大额申购,开放赎回,,,,
2024-01-31,1.5346,1.7989,,,1,0.10,限制大额申购,开放赎回,,,,
2024-02-01,1.5261,1.7904,,,1,-0.55,限制大额申购,开放赎回,,,,
2024-02-02,1.5288,1.7931,,,1,0.18,限制大额申购,开放赎回,,,,
2024-02-05,1.5405,1.8048,,,1,0.77,限制大额申购,开放赎回,,,,
2024-02-06,1.5546,1.8189,,,1,0.92,限制大额申购,开放赎回,,,,
2024-02-07,1.5391,1.8034,,,1,-1.00,限制大额申购,开放赎回,,,,
2024-02-08,1.5380,1.8023,,,1,-0.07,限制大额申购,开放赎回,,,,
2024-02-19,1.5689,1.8332,,,1,2.01,限制大额申购,开放赎回,,,,
2024-02-20,1.5824,1.8467,,,1,0.86,限制大额申购,开放赎回,,,,
2024-02-21,1.6036,1.8679,,,1,1.34,限制大额申购,开放赎回,,,,
2024-02-22,1.6079,1.8722,,,1,0.27,限制大额申购,开放赎回,,,,
2024-02-23,1.6154,1.8797,,,1,0.47,限制大额申购,开放赎回,,,,
2024-02-26,1.5851,1.8494,,,1,-1.88,限制大额申购,开放赎回,,,,
2024-02-27,1.5888,1.8531,,,1,0.23,限制大额申购,开放赎回,,,,
2024-02-28,1.5801,1.8444,,,1,-0.55,限制大额申购,开放赎回,,,,
2024-02-29,1.5890,1.8533,,,1,0.56,限制大额申购,开放赎回,,,,
2024-03-01,1.5927,1.8570,,,1,0.23,限制大额申购,开放赎回,,,,
2024-03-04,1.5894,1.8537,,,1,-0.21,限制大额申购,开放赎回,,,,
2024-03-05,1.6109,1.8752,,,1,1.35,限制大额申购,开放赎回,,,,
2024-03-06,1.5988,1.8631,,,1,-0.75,限制大额申购,开放赎回,,,,
2024-03-07,1.6034,1.8677,,,1,0.29,限制大额申购,开放赎回,,,,
2024-03-08,1.6031,1.8674,,,1,-0.02,限制大额申购,开放赎回,,,,
2024-03-11,1.5984,1.8627,,,1,-0.29,限制大额申购,开放赎回,,,,
2024-03-12,1.5761,1.8404,,,1,-1.40,限制大额申购,开放赎回,,,,
